business_name,city,map_link,full_address,email,featured_image_url,pin_code
Podar International School Kolhapur (CBSE),Kolhapur,"https://www.google.com/maps/place/Podar+International+School+Kolhapur+(CBSE)/@16.6646952,74.1998983,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc0552c8980b25d:0xb5b4b496b6aaaaa0!8m2!3d16.6646952!4d74.1998983!16s%2Fg%2F124yd2yv3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D","Gat No 1032, Ring Road, near Mhada Colony, New Vashi Naka, A Ward, Survey Nagar, Kolhapur, Maharashtra 416012",,https://lh3.googleusercontent.com/gps-cs-s/AHVAwervbv7z8AprnuXgpsNvwoygrEXXsrU4kNMo_8QWqgAUFHh52TlkD84HOtPNbFAD43KnIJheu3NQ8k2O77XvSvVbCPiamSz1J4xrjTjYxfx9lM9EFVZM7zX9CJyrb5m2LPmWK0_c=w529-h298-k-no,416012
"VIBGYOR High School, Kolhapur | CBSE School",Kolhapur,"https://www.google.com/maps/place/VIBGYOR+High+School,+Kolhapur+%7C+CBSE+School/@16.6888263,74.2845091,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc101e151aaa40b:0x4c75bc096cb94e6f!8m2!3d16.6888263!4d74.2845091!16s%2Fg%2F1tppqdp2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D","RS 301, Near Om Sai Petrol Pump, Gad Mudshingi - Mudshingi Rd, Uchgaon, Kolhapur, Maharashtra 416005",,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo9fAGynAainb2gHJA1W4PXdYrNgE10SI4p-1Qr-zZOXvkZTfIYB6DGDUIaCPbCx9Ayy9s7mjoVN7CtIvAyoO9FmAUrI1e0ZZ22H7bhECWx5aG8URGEYGEBwH-niWhMQlhj0sNS=w529-h298-k-no,416005
M. S. Patel English Medium School,Kolhapur,"https://www.google.com/maps/place/M.+S.+Patel+English+Medium+School/@16.7009736,74.239261,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc1006ac3ea1b4f:0xa3db678327e492a7!8m2!3d16.7009736!4d74.239261!16s%2Fg%2F11bzq428m2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D","598, 1st Ln, E Ward, Shahupuri, Kolhapur, Maharashtra 416001",,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerjM9hkKkOBTrOM0sFTM0qgqNBzQgugKKioCPSPhHYmBe6nmUpa_hKQBP0HW476_EWGVcokP9PyC0dkgL1gwJ6wxIi682VHBLAImmdNH7HlDd-PVG56h8kcpfJHyvSrczDax1ESMg=w529-h298-k-no,416001
Private High school And Junior college(PHJC),Kolhapur,"https://www.google.com/maps/place/Private+High+school+And+Junior+college(PHJC)/@16.6926134,74.2273786,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc1000e79e76a7d:0x29a5dc899721bced!8m2!3d16.6926134!4d74.2273786!16s%2Fm%2F05b2jwl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D","2560B, Swami Vivekananda Rd, Mangalwar Peth, Manganwlar Peth, Kolhapur, Maharashtra 416012",,https://lh3.googleusercontent.com/geougc-cs/ABOP9puSA88cEvF4YXNXnA-GxNqJO2SLoOy4pfCQnNo7ILqgExoI8mTqVZXW8PzeH-o6m4XqSsiwti4PGiyCLOryNVDyVOBkMW0uoaC_vkegjlioJ1jBsxLmJTQmHqarJqe18mROpHTxrA=w600-h450-p,416012
Vimala Goenka English Medium School,Kolhapur,"https://www.google.com/maps/place/Vimala+Goenka+English+Medium+School/@16.6900076,74.2223094,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc10008f8e324ed:0x96dffce046c415b4!8m2!3d16.6900076!4d74.2223094!16s%2Fg%2F1pyqrpryq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D","Mangalwar Peth, C Ward, Kolhapur, Maharashtra 416012",,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo9ATfP8e1Q25ggBX9fp7zUzLmjLPALOW-Zs7_fTUkMlvtSAsD3kAGVy-60e4-2TJ3ii6GgwyQfI9hfhfOrfVXPvLs0BCHpvldnw38kF6K3nklgnfpliIQh5L06PI9UJS0cY8Yg=w529-h298-k-no,416012
Nalanda International School Kolhapur,Kolhapur,"https://www.google.com/maps/place/Nalanda+International+School+Kolhapur/@16.697926,74.24415,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc101d5f103be51:0x118e0dedaed95cf8!8m2!3d16.697926!4d74.24415!16s%2Fg%2F11ww933kbg?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D","Tararani vidyapeeth's campus, Rajarampuri 3rd Ln, Poorvarang, Mahalaxminagar, Rajarampuri, Kolhapur, Maharashtra 416008",,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq5GRXpmXZNRaAWIudFnmS_KjZwcmTZ4DUtDlGc7a1mx4GD6mzCr3tKzGk-iEya4uiAqo1ItNk8iWsZxSl_5uPuhwRc8cV5oobN2tZHuNMQ72J904aJ4Udw0SgGGymSJlGE6w5jlw=w397-h298-k-no,416008
Shrimant Maisaheb Bavdekar School,Kolhapur,"https://www.google.com/maps/place/Shrimant+Maisaheb+Bavdekar+School/@16.7165369,74.2441571,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc1005dcc55e4c7:0x76840e2d30e73842!8m2!3d16.7165369!4d74.2441571!16s%2Fg%2F1tf149vn?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D","25 Kh, opposite आयकर कार्यालय, E Ward, Tarabai Park, Kolhapur, Maharashtra 416003",,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo0Off753KzI5r3wNoR30q2Zo2YKEXSZUuq_tz0s7x6jnTjeHAr6UfLDRZddMkeOwaz8HSWT1_LS_5lOA94cfDc4VPbY-b4ff0IbDC0poFoPdZfEWQY6aVi4Z9LpfRC4Mv-OxQ=w528-h298-k-no,416003
D Y PATIL VIDYANIKETAN CBSE SCHOOL,Kolhapur,"https://www.google.com/maps/place/D+Y+PATIL+VIDYANIKETAN+CBSE+SCHOOL/@16.6679077,74.2057384,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc05553eaaaaaab:0x14ef8e568b306b40!8m2!3d16.6679077!4d74.2057384!16s%2Fg%2F11ks2mhrcp?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D","Patil Vidyaniketan CBSE School, D Y, Salokhe Nagar, Kolhapur, Maharashtra 416007",,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepHZZ8ZWf8zell5zMVjwkRZhv7qbo8nDNigqEl0xSBxmGb-P_F7IY4oJfOLMBGMKSja1FDGV8DNfLEA_-CcLiQX9hjiaZ85YQppYqBvbTeLkjRv5ObHx9-shYkSUTpnJ2uyAOCQyA=w617-h298-k-no,416007
"Buds International School, Kolhapur",Kolhapur,"https://www.google.com/maps/place/Buds+International+School,+Kolhapur/@16.6679742,74.2462247,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc0ffdc6aaaaaab:0x3caa2bf8f3878e50!8m2!3d16.6679742!4d74.2462247!16s%2Fg%2F11j2sj9zs6?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D","M69W+VC8, R.S.No.576, near Water Tank, Rajendra Nagar, Kolhapur, Maharashtra 416004",,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepVyhayaOFN3f9cGUEaY22cKVt14cS6lYGDzJs1StyuQe8cURREX1ElxKZ9FAnTVDV-R6vD94WHZbab_4YAgVHw-_4cDnVn7uQeSNhO-LEyqv7IUyKtdE5UMY1vLq9I5U5SBbJHzA=w745-h298-k-no,416004
New Model English School and Junior College,Kolhapur,"https://www.google.com/maps/place/New+Model+English+School+and+Junior+College/@16.7143618,74.239032,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc1006707aaecd3:0x10ca8eb357dd519c!8m2!3d16.7143618!4d74.239032!16s%2Fg%2F1tddqmzy?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D","C.S. No. 2130, 2130, E Ward, Tarabai Park, Kolhapur, Maharashtra 416003",,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerdGpFVIi6zSVnCMH68eYMVXKknAqsgQQnzySuR9ZAcqCg65rdO-70H4M-ItjSOIaGXDnenIRR0H1jheMuQSbc8VXHE9BBDA0EFujCFVoa1rqbjUP2pQ22Zzn0uuK9ZEXKBQWNU=w529-h298-k-no,416003
FIA - The NALANDA Campus | CBSE School In Kolhapur,Kolhapur,"https://www.google.com/maps/place/FIA+-+The+NALANDA+Campus+%7C+CBSE+School+In+Kolhapur/@16.7091018,74.2350623,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc1006f33a22821:0xbf78a5361b78e447!8m2!3d16.7091018!4d74.2350623!16s%2Fg%2F11cssh713t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D","Zilla Parishad Rd, Nagalapark, Kolhapur, Maharashtra 416003",,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep63XdR8FbA_G-Jzs_Ccytw3lMwt-xmmJx9SD2PbE7bhlxevE9F0YcEZfTOe8OxbAc29kUICWwKPskb4xcX9dGXEH1nVbEzEALTszp0Klit7JhqujIoDM3lxMU1TeHj0hiC4y3f0SANwonx=w645-h298-k-no,416003
Smt. Radhabai Shinde English Medium School,Kolhapur,"https://www.google.com/maps/place/Smt.+Radhabai+Shinde+English+Medium+School/@16.6890459,74.2521996,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc10025505a548d:0xd10a64a4cd51bd00!8m2!3d16.6890459!4d74.2521996!16s%2Fg%2F12hly4h1x?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D","Shivaji, Loknete Sadashivrao Mandlik Marg, Shivaji University Kolhapur, Vidya Nagar, Kolhapur, Maharashtra 416004",,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq-CIJzZCPlYaBiFxFa_HjRNQB0CgOczawWxeAYDWqyy-aIT9Z1-aNCnfWdTBWaq3Q3v4b-cJ12dwyptEKnW9-wOXDRbksu7Wx5RbaqTTHsXgpz7p5LrAIIjmZUZssl6mTfwRA2=w397-h298-k-no,416004
Blossom English medium school,Kolhapur,https://www.google.com/maps/place/Blossom+English+medium+school/data=!4m7!3m6!1s0x3bc100eb7408c42b:0xef3bacd470437872!8m2!3d16.7415743!4d74.243968!16s%2Fg%2F11c6t8rj3t!19sChIJK8QIdOsAwTsRcnhDcNSsO-8?authuser=0&hl=en&rclk=1,"Blossom English Medium School 15/3, Vasant Ruth Residency, Kasaba Bawada, Kolhapur, Maharashtra 416006",,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepF50jfaAqxPk2i4lvb38E-5PQoE8DPK5qkj4uwxvCa7-xiIXh0Os09-bFHZJfHRuD2QDpETfAkZUwX72Lebjkv1Lso7p1kBsWQmK00FaQ6kVEZODhO0-lZ51aO4e4ExUz-3i9iNz-kLQ55=w528-h298-k-no,416006
Krayons International School,Kolhapur,https://www.google.com/maps/place/Krayons+International+School/data=!4m7!3m6!1s0x3bc10138d058ef0f:0x2d4bb297499152a!8m2!3d16.6874803!4d74.2294968!16s%2Fg%2F11g1sgbvhl!19sChIJD-9Y0DgBwTsRKhWZdCm71AI?authuser=0&hl=en&rclk=1,"Jai Prabha Studio, Near Bhakti Puja Nagar, Subhash Rd, Mangalwar Peth, Kolhapur, Maharashtra 416012",,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep6mVYWZl6WvPJb8rmCVbB_IeayG8-r-7HnOox8zeIQIBUyRUoZRBzjydymnFabS0ZcesSF7ukfnxVhpn9DUnJKORGRS3EnPiW701HQDqnVyrHBWMDDKS0wCM-UYkq6g1A2_5SRfw=w397-h298-k-no,416012
Chhatrapati Shahu Vidyalaya,Kolhapur,"https://www.google.com/maps/place/Chhatrapati+Shahu+Vidyalaya/@16.7180121,74.2287333,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc1007cc69444af:0x482acfaeddd93f68!8m2!3d16.7180121!4d74.2287333!16s%2Fg%2F1td2xxzh?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D","P69H+6F5, Ramanmala, Kolhapur, Maharashtra 416003",,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepBAjQM3_VCtmWmfcV4E06u11I6CDzYz0Glq_raVK60rFu-PY5QCdU0YrUR8zX2nfFhKHg-bnJ4Oe89AhK8OJvjGrPkQc0GZppRzNNRp3wfdhS_4HsPgipyeTrI7MfN9tgM4QKM=w529-h298-k-no,416003
Vidyapeeth Highschool & Jr. College,Kolhapur,"https://www.google.com/maps/place/Vidyapeeth+Highschool+%26+Jr.+College/@16.6943227,74.2225177,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc1000bbe58f84d:0x4aae87a0043075dd!8m2!3d16.6943227!4d74.2225177!16s%2Fm%2F0wbmwl5?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D","2765A, Mahadwar Rd, Wangi Bol, C Ward, Kolhapur, Maharashtra 416012",,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqojleqoyFg72WQO-PZ3BFDejnVg57mgedd0H9BVRX2TRQ_GVVzx1RgGGYXZASvtSGxB7E3KThm_OBtjJNqriVeB4h2U9V2iP66J5q-JtjlyVodrJ7VIzyPIEkvNyr5k8hCApQD=w541-h298-k-no,416012
Chate School & Junior College Of Science,Kolhapur,"https://www.google.com/maps/place/Chate+School+%26+Junior+College+Of+Science/@16.6989899,74.2418893,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc1003fde0d9a53:0x4a5d1ff1c30e3d7d!8m2!3d16.6989899!4d74.2418893!16s%2Fg%2F11c0rnjnp3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D","2nd Floor, Stadium Complex, near Shahaji Law College, E Ward, Shahupuri, Kolhapur, Maharashtra 416001",,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoQTxYilCp7LyJbjxB6JlcnM7iJsf4Af-3aZoYfBEfSFwx-_JY3aGu7Ql2agytP8KQUUXEoBYHmE8mVZLfMQZ5A123Onvu44WPCelluhHuvaRNUoRZTcQyq9vpnVfEXeSKIAFsbHg=w541-h298-k-no,416001
"Dr. Cyrus Poonawalla International School, Kolhapur",Kolhapur,"https://www.google.com/maps/place/Dr.+Cyrus+Poonawalla+International+School,+Kolhapur/@16.8138101,74.2969386,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc106892841d24d:0x4ae88a8de871b030!8m2!3d16.8138101!4d74.2969386!16s%2Fg%2F11b6z_x4c_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D","R.S. No. 245/E1, Kolhapur Road, Peth-Vadgaon, Tal. Hatkanangale, Dist, Kolhapur, Maharashtra 416112",,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep7flEN933CM93gh84SAHqtaH73fPQ4CcezY-2VMU-G7DQnCmDnXN9IeIdCRvOIu64jfJ_h3T8M-WBFP65Dx8VExN1Sy4T-yNWDI5fXDUiO0NNntQdL8Bot92Pox2zjBMTmaiQ4nA=w529-h298-k-no,416112
